paper_id,title,year,journal,doi,method_class_key,method_class_label,method_class,classification_source,classification_confidence,wcm_completeness_key,wcm_completeness_label,wcm_completeness_source,wcm_completeness_confidence,organism,organism_group,paper_status,pdf_status,pdf_file,landing_page_url,remote_status
WCM-032,Bacterial chromosome segregation by the ParABS system,2020,Open Biology,10.1098/rsob.200097,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General bacteria,General bacteria,metadata_only,landing_page_only,,https://doi.org/10.1098/rsob.200097,
WCM-033,Mechanisms for Chromosome Segregation in Bacteria,2021,Frontiers in Microbiology,10.3389/fmicb.2021.685687,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General bacteria,General bacteria,review_needed,landing_page_only,WCM-033_2021_Mechanisms_for_Chromosome_Segregation_in_Bacteria.pdf,https://doi.org/10.3389/fmicb.2021.685687,zotero_upload_pending
WCM-034,Real-time imaging of DNA loop extrusion by condensin,2018,Science,10.1126/science.aar7831,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Condensin / chromatin,Chromatin / condensin,metadata_only,landing_page_only,,https://doi.org/10.1126/science.aar7831,
WCM-035,Chromosome organization by one-sided and two-sided loop extrusion,2020,eLife,10.7554/elife.53558,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Chromatin / multi-system,Chromatin / condensin,metadata_only,landing_page_only,,https://doi.org/10.7554/elife.53558,
WCM-036,DNA-loop-extruding SMC complexes can traverse one another in vivo,2021,Nature Structural & Molecular Biology,10.1038/s41594-021-00626-1,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Bacillus subtilis,General bacteria,review_needed,landing_page_only,WCM-036_2021_DNA-loop-extruding_SMC_complexes_can_traverse_one_another_in_vivo.pdf,https://doi.org/10.1038/s41594-021-00626-1,zotero_upload_pending
WCM-037,Loop-extruders alter bacterial chromosome topology to direct entropic forces for segregation,2024,Nature Communications,10.1038/s41467-024-49039-w,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,review_needed,landing_page_only,WCM-037_2024_Loop-extruders_alter_bacterial_chromosome_topology_to_direct_entropic_forces_for.pdf,https://doi.org/10.1038/s41467-024-49039-w,zotero_upload_pending
WCM-038,RNA polymerases as moving barriers to condensin loop extrusion,2019,Proceedings of the National Academy of Sciences,10.1073/pnas.1907009116,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Bacterial chromosome systems,General bacteria,metadata_only,landing_page_only,,https://doi.org/10.1073/pnas.1907009116,
WCM-039,Defined chromosome structure in the genome-reduced bacterium Mycoplasma pneumoniae,2017,Nature Communications,10.1038/ncomms14665,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Mycoplasma pneumoniae,Mycoplasma / Mollicutes,review_needed,landing_page_only,WCM-039_2017_Defined_chromosome_structure_in_the_genome-reduced_bacterium_Mycoplasma_pneumoni.pdf,https://doi.org/10.1038/ncomms14665,zotero_upload_pending
WCM-040,Spatial organization of the flow of genetic information in bacteria,2010,Nature,10.1038/nature09152,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1038/nature09152,
WCM-041,Superresolution imaging of ribosomes and RNA polymerase in live Escherichia coli cells,2012,Molecular Microbiology,10.1111/j.1365-2958.2012.08081.x,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1111/j.1365-2958.2012.08081.x,
WCM-042,Modulation of Chemical Composition and Other Parameters of the Cell at Different Exponential Growth Rates,2008,EcoSal Plus,10.1128/ecosal.5.2.3,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1128/ecosal.5.2.3,
WCM-043,Cell Reproduction and Morphological Changes in Mycoplasma capricolum,1998,Journal of Bacteriology,10.1128/jb.180.2.256-264.1998,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Mycoplasma capricolum,Mycoplasma / Mollicutes,metadata_only,landing_page_only,,https://doi.org/10.1128/jb.180.2.256-264.1998,
WCM-044,Multi-omics integration accurately predicts cellular state in unexplored conditions for Escherichia coli,2016,Nature Communications,10.1038/ncomms13090,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,review_needed,landing_page_only,WCM-044_2016_Multi-omics_integration_accurately_predicts_cellular_state_in_unexplored_conditi.pdf,https://doi.org/10.1038/ncomms13090,zotero_upload_pending
WCM-045,Yeast9: a consensus genome-scale metabolic model for S. cerevisiae curated by the community,2024,Molecular Systems Biology,10.1038/s44320-024-00060-7,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Saccharomyces cerevisiae,Whole-cell general,review_needed,landing_page_only,WCM-045_2024_Yeast9_a_consensus_genome-scale_metabolic_model_for_S._cerevisiae_curated_by_th.pdf,https://doi.org/10.1038/s44320-024-00060-7,zotero_upload_pending
WCM-046,A neural-mechanistic hybrid approach improving the predictive power of genome-scale metabolic models,2023,Nature Communications,10.1038/s41467-023-40380-0,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,review_needed,landing_page_only,WCM-046_2023_A_neural-mechanistic_hybrid_approach_improving_the_predictive_power_of_genome-sc.pdf,https://doi.org/10.1038/s41467-023-40380-0,zotero_upload_pending
WCM-047,A mechanistic pan-cancer pathway model informed by multi-omics data interprets stochastic cell fate responses to drugs and mitogens,2018,PLoS Computational Biology,10.1371/journal.pcbi.1005985,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Human / pan-cancer,Whole-cell general,review_needed,landing_page_only,WCM-047_2018_A_mechanistic_pan-cancer_pathway_model_informed_by_multi-omics_data_interprets_s.pdf,https://doi.org/10.1371/journal.pcbi.1005985,zotero_upload_pending
WCM-048,Overflow metabolism originates from growth optimization and cell heterogeneity,2025,eLife,10.7554/elife.94586.4,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.7554/elife.94586.4,
WCM-049,A Cross-Species Generative Cell Atlas Across 1.5 Billion Years of Evolution: The TranscriptFormer Single-cell Model,2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.04.25.650731,ml,Machine Learning Model,Machine Learning Model,manual_override,1.0,related,Related Model,heuristic,0.84,Human / pan-cancer,Whole-cell general,review_needed,landing_page_only,WCM-049_2025_A_Cross-Species_Generative_Cell_Atlas_Across_1.5_Billion_Years_of_Evolution_The.pdf,https://doi.org/10.1101/2025.04.25.650731,zotero_upload_pending
WCM-050,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,2024,Nature Methods,10.1038/s41592-024-02201-0,ml,Machine Learning Model,Machine Learning Model,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,review_needed,landing_page_only,WCM-050_2024_scGPT_toward_building_a_foundation_model_for_single-cell_multi-omics_using_gene.pdf,https://doi.org/10.1038/s41592-024-02201-0,zotero_upload_pending
WCM-051,Predicting cellular responses to perturbation across diverse contexts with State,2025,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.06.26.661135,ml,Machine Learning Model,Machine Learning Model,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,review_needed,landing_page_only,WCM-051_2025_Predicting_cellular_responses_to_perturbation_across_diverse_contexts_with_State.pdf,https://doi.org/10.1101/2025.06.26.661135,zotero_upload_pending
WCM-052,Accelerated discovery via a whole-cell model,2013,Nature Methods,10.1038/nmeth.2724,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,review_needed,landing_page_only,WCM-052_2013_Accelerated_discovery_via_a_whole-cell_model.pdf,https://doi.org/10.1038/nmeth.2724,zotero_upload_pending
WCM-053,Vivarium: an interface and engine for integrative multiscale modeling in computational biology,2022,Bioinformatics,10.1093/bioinformatics/btac049,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,metadata_only,landing_page_only,,https://doi.org/10.1093/bioinformatics/btac049,
WCM-054,Whole-cell modeling in yeast predicts compartment-specific proteome constraints that drive metabolic strategies,2022,Nature Communications,10.1038/s41467-022-28467-6,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,partial,Partial WCM,manual_override,1.0,Saccharomyces cerevisiae,Whole-cell general,review_needed,landing_page_only,WCM-054_2022_Whole-cell_modeling_in_yeast_predicts_compartment-specific_proteome_constraints.pdf,https://doi.org/10.1038/s41467-022-28467-6,zotero_upload_pending
WCM-055,An expanded whole-cell model of E. coli links cellular physiology with mechanisms of growth rate control,2022,npj Systems Biology and Applications,10.1038/s41540-022-00242-9,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,complete,Complete WCM,manual_override,1.0,Escherichia coli,Escherichia coli,review_needed,landing_page_only,WCM-055_2022_An_expanded_whole-cell_model_of_E._coli_links_cellular_physiology_with_mechanism.pdf,https://doi.org/10.1038/s41540-022-00242-9,zotero_upload_pending
WCM-056,Comprehensive understanding of <i>Saccharomyces cerevisiae</i> phenotypes with whole‐cell model WM_S288C,2020,Biotechnology and Bioengineering,10.1002/bit.27298,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,partial,Partial WCM,manual_override,1.0,Saccharomyces cerevisiae,Whole-cell general,metadata_only,landing_page_only,,https://doi.org/10.1002/bit.27298,
